ID,SMILES,Filtered Abnormal Hepatic Fun _IC50,Filtered Cholecystiti_IC50,Filtered Cholelitiasi_IC50,Filtered Cholestasi_IC50,Filtered cholestatic Jaundice_IC50,Filtered Hepatic Failure_IC50,Filtered Hepatic necrosi_IC50,Filtered Hepatic Steatosi_IC50,Filtered Hepatiti_IC50,Filtered HepatoBiliary disorder_IC50,Filtered HepatoCellular injury_IC50,Filtered Hepatomegaly_IC50,Filtered Hepatotoxicity_IC50,Filtered Hyperbilirubinemia_IC50,Filtered Jaundice_IC50,Filtered Liver Injury_IC50
34,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,-0.7638508547503705,-0.8642997960811876,,,,-0.3353152551236569,,,,,-0.7368979566399755,,,-0.3353152551236569,-0.6493702030352592,
35,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1,-0.6731553703138085,,,-0.2440283912474924,,,,,,,,,,,,
36,CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CS[C@@H]21,-0.9741853659777896,,,,,-0.5450583869114736,,,,,,,,,,
37,COCC1=C(C(=O)OC(C)OC(=O)OC(C)C)N2C(=O)[C@@H](NC(=O)/C(=N/OC)c3csc(N)n3)[C@H]2SC1,-0.2692389148694435,0.2860970288144822,-0.0047136971359307,-0.1567345108522837,,,,,,,,,,,,
38,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O,-0.8432701825971625,,,-0.7307657785800026,,,,,,,,,,1.5855034988287182,,
39,CC(C)(O/N=C(\C(=O)N[C@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@@H]12)c1csc(N)n1)C(=O)[O-],-0.832454252947296,,,,,,,,,,,,,,,
40,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)OC(C)OC(C)=O)=C(COC(N)=O)CS[C@H]12)c1ccco1,-0.3553329982276336,,,-0.2536445238603401,,,,,,,,,,,-0.3483402073712779,
41,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC(N)=O)CS[C@H]12)c1ccco1,-0.6105385776561135,,,,,,,,,,,,,,,
42,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,-0.1614460465366946,,-0.1475581307964651,,,0.0602311952317714,,,0.2077144608141539,,,,,,0.0495998013007596,
43,NC(=O)O[C@@H](Cn1ncnn1)c1ccccc1Cl,0.1395839491272865,,0.1148194089047454,,,,,0.2088163647174218,,,,,,,,
