ID,SMILES,Filtered cholestatic Jaundice_IC50,Filtered Hepatic Failure_IC50,Filtered Hepatic necrosi_IC50,Filtered Hepatiti_IC50,Filtered HepatoCellular injury_IC50,Filtered Hepatotoxicity_IC50,Filtered Hyperbilirubinemia_IC50,Filtered Jaundice_IC50,Filtered Liver Injury_IC50
16,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,0.7952982523159721,0.667174230092035,,0.8735085422450785,0.2942346876973831,0.4836003707712898,,0.8556998217388563,0.557884990033405
17,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,2.175509494027578,,,1.7377601952467747,,,,,
18,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,2.2495725457541105,,,,1.600621337203474,,,0.0599832474717191,
19,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,-0.4493974585819084,-0.3022738574536561,-0.479716957136695,1.542235493483735,1.5426293902257875,,-0.0804251078372997,1.465800956025518,
20,N=C(CCSCc1csc(N=C(N)N)n1)NS(N)(=O)=O,0.5765270664203931,2.550602541418092,2.219253047199324,1.26345142460329,2.746749372881712,,,,
21,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,1.8775570620843745,,,,,,,-0.5233386169987495,
22,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,1.1785870577483557,0.701465803028693,0.6171930558713614,0.6372444940465242,0.7329282563911367,,0.6840370374865198,0.6016001196095504,
23,CC(C)n1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2ccccc21,0.5765270664203931,0.6610420520320621,0.6171930558713614,0.6610420520320621,,,0.4846681215022699,0.4766613830012504,0.4766613830012504
24,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,1.8432153311973616,,,,,,,,
25,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,1.5421853355333803,,,,,,,,
26,CC(C)Cc1ccc(C(C)C(=O)O)cc1,1.5952646833613644,-0.763506037864657,-0.5588982031843198,-0.3545318799586196,,-0.0047136971359307,,-0.6877062546910511,
27,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,-0.5296740532469356,,,,,,,1.7669761720495345,
28,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,1.373415933745008,1.5970608283888998,1.520283042863305,1.4086418410043733,,,1.6925049870205549,,
29,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,0.4703259467530644,1.0806084510621754,,0.8827173093932786,,,,,0.552806572215081
30,Cc1nnc(C(C)C)n1[C@H]1C[C@@H]2CC[C@H](C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1ccccc1,-0.2578682075203386,2.371564706539054,,-0.2805734107534123,-0.4616284226954188,2.2688423056280667,0.4306651143337782,,-0.3222546911766191
31,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1,-0.2578682075203386,,,,,,,-0.0314018775019314,
32,S=c1[nH]cnc2nc[nH]c12,2.219253047199324,,1.8121095024387612,,2.3165228276882246,2.0256793617529865,1.931884835640881,2.0477793685456933,
33,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,1.6171930558713614,,,,,,1.7277648529849563,1.8436593858897683,
34,Nc1ccc(O)c(C(=O)O)c1,-1.3828069441286386,-1.1176132286706288,-1.1878904975612383,-1.0836218621942282,,0.0256793617529863,-0.9930186725756271,-0.8553106184462501,-1.1461634321209375
35,CCCCCOc1ccc(-c2cc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@H](O)CC(N)=O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)c(OS(=O)(=O)[O-])c5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)no2)cc1,0.3441917838076238,1.6782667886734464,,0.4392568830861093,0.4530674778367779,0.548558107033324,0.4209695693332186,1.804647743356504,0.4558965592070245
36,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,0.0956800882788034,-0.0207032156625723,,-0.2286440575829544,,,1.8783858178306847,1.8331247907710968,
