ID,SMILES,final_Abnormal Hepatic Fun _LOAEL,final_Cholecystiti_LOAEL,final_Cholelitiasi_LOAEL,final_Cholestasi_LOAEL,final_Hepatic Steatosi_LOAEL,final_HepatoBiliary disorder_LOAEL,final_Hepatomegaly_LOAEL
75,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,0.2684665760386999,,,,,,
76,CCOC(=O)CCC(=O)OC1C(OC2C(C)C(OC3CC(C)(OC)C(O)C(C)O3)C(C)C(=O)OC(CC)C(C)(O)C(O)C(C)C(=O)C(C)CC2(C)O)OC(C)CC1N(C)C,2.1588835589553104,,,,,,
77,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,1.4599135546192916,,0.9700771020950798,1.327722567604865,1.237784945859102,,
78,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,0.4879422782195351,-2.0113202986941445,2.0096684135040266,,,,
79,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,0.0619735459472539,0.0678609473534804,0.4076084221760644,,,,
80,CCOC(=O)C=C(C)C=CC=C(C)C=Cc1c(C)cc(OC)c(C)c1C,2.3630035416112354,,,,,,
81,O=C1C(CCC(O)c2ccc(F)cc2)C(c2ccc(O)cc2)N1c1ccc(F)cc1,1.5603789474977496,1.630772529400142,1.7608550544394272,,,,
82,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N,2.119939573669237,2.326063317097838,2.283733799719765,,,,
83,N=C(CCSCc1csc(N=C(N)N)n1)NS(N)(=O)=O,1.2960308327249186,,,,,,
84,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,0.2363970084139841,0.8149888270562189,0.2837337997197648,,0.7417088878665212,,1.106578426512083
85,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,0.930487167456402,0.4533659127367395,0.2011455339537839,0.4533659127367395,,,0.7543959084007207
86,CCc1c(Cl)c(O)c(Cl)c(O)c1C(=O)OC1C(C)OC(OC/C2=C/C=C\CC(O)/C(C)=C\C(CC)C(OC3OC(C)(C)C(OC(=O)C(C)C)C(O)C3O)/C(C)=C\C(C)=C/CC(C(C)O)OC2=O)C(OC)C1O,0.7086384178400456,,,,,0.2878252349233181,
87,CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1,2.310698409168008,,,,1.125655599126862,1.491945217579243,2.18342189132804
88,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,0.7086384178400456,,,,,,
89,Nc1nc(=O)[nH]cc1F,0.8335771544483456,,,,,,
90,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,0.8357159310137259,1.2315171631203832,0.5245194468217311,,1.4429788424589256,,1.3308681242161169
91,COC1OC(COS(=O)(=O)O)C(OC2OC(C(=O)O)C(OC3OC(COS(=O)(=O)O)C(OC4OC(C(=O)O)C(OC5OC(COS(=O)(=O)O)C(O)C(O)C5NS(=O)(=O)O)C(O)C4O)C(OS(=O)(=O)O)C3NS(=O)(=O)O)C(O)C2OS(=O)(=O)O)C(O)C1NS(=O)(=O)O,1.994341792792301,,,,,,
92,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,0.3483882084306329,,,,,,
93,CON=C1CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN,0.2411782387827645,,,,,,
94,CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1,0.4452982214386894,0.7086384178400456,-0.0419364726206035,,0.0008821688784747,0.0602696289572429,-0.1539159219508093
95,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCC(C)CC3)cc2)C1=O,1.843238230110727,,,2.106578426512084,,,
96,NC(=O)NO,1.260538043519884,,,,,,
97,C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,0.114410007841646,0.1230789267047701,,0.1230789267047701,,0.0902328523346862,
98,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-0.3243980690188371,,,,,,
99,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)OCC,-1.1371184576436602,,,,,,
100,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,-0.4961404002853279,-0.2778588452148274,-0.2778588452148274,,,-0.4906378399233381,
101,CN(C)CCCN1c2ccccc2CCc2ccccc21,0.2308583276509344,,,,,,
102,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,0.2308583276509344,,,,,,
103,CNCC(=O)OCc1cccnc1N(C)C(=O)OC(C)[n+]1cnn(CC(O)(c2cc(F)ccc2F)C(C)c2nc(-c3ccc(C#N)cc3)cs2)c1,1.3277683406589909,1.8470798913934725,,0.4452982214386894,,1.4794391369567528,1.7211453414408908
104,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,0.1059195910426344,,0.3242011461131349,0.1355993069115841,,,0.2878252349233181
105,N#Cc1ccnc(N2C(=O)CCC2C(=O)N(c2cncc(F)c2)C(C(=O)NC2CC(F)(F)C2)c2ccccc2Cl)c1,-0.0492720870123233,,,,,,
106,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,1.979296784337428,,,,0.092108061101105,,
107,COCC(NC(C)=O)C(=O)NCc1ccccc1,-0.1967944747182536,,-0.1529201086065275,,,0.0814991282847152,
108,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,-0.1967944747182536,,-0.0737388625589026,,,0.0814991282847152,
109,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,0.8032055252817464,0.7626368907933829,0.9212314271135938,0.9298283319869532,,,
110,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,-0.5947344833902912,-0.3639560530626521,,-0.2920204176294032,-0.782953202290595,,
111,COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(N)=O,1.201145533953784,1.1854099294059788,1.48643992506996,,2.2722231883482644,,
112,COc1cccc(N2CCN(C3=Nc4c(F)cccc4C(CC(=O)O)N3c3cc(C(F)(F)F)ccc3OC)CC2)c1,-0.0998844617101972,,,,,,
113,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,-0.2713605705223441,0.2098483818312493,-0.267272872888413,2.026692571940884,0.0627135686805871,,
114,CCCCCCCCCCCCCCCC(=O)NC(CCC(=O)NCCCCC(NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(N)=O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(C)NC(=O)C(N)Cc1cnc[nH]1)C(C)O)C(C)O)C(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC(C(=O)NC(C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)O)C(C)C)C(C)CC)C(=O)O,1.5245194468217311,2.1306671357836247,1.552806572215081,1.8048895953786528,1.5398348234002497,2.09501583870338,
115,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,1.7467493728817125,,,,,,
116,CC1Oc2cc(cnc2N)-c2c(nn(C)c2C#N)CN(C)C(=O)c2ccc(F)cc21,0.7467493728817123,0.4558965592070245,,,0.4717697586725696,,
117,CCCCCCOC(C)c1cccc(-c2csc(NC(=O)c3cc(Cl)c(C=C(C)C(=O)O)c(Cl)c3)n2)c1OC,2.26962811816205,,,,,,
118,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,1.7467493728817125,,,,,,
